Temps: 106s | Batterie: 0.60J | Paquets en attente: 5
Temps: 107s | Batterie: 0.60J | Paquets en attente: 5
Temps: 108s | Batterie: 0.60J | Paquets en attente: 5
Temps: 109s | Batterie: 0.60J | Paquets en attente: 5
Temps: 110s | Batterie: 0.60J | Paquets en attente: 5
Temps: 111s | Batterie: 0.60J | Paquets en attente: 5
Temps: 112s | Batterie: 0.60J | Paquets en attente: 5
Temps: 113s | Batterie: 0.60J | Paquets en attente: 5
Temps: 114s | Batterie: 0.60J | Paquets en attente: 5
Temps: 115s | Batterie: 0.60J | Paquets en attente: 5
Temps: 116s | Batterie: 0.60J | Paquets en attente: 5
Temps: 117s | Batterie: 0.60J | Paquets en attente: 5
Temps: 118s | Batterie: 0.60J | Paquets en attente: 5
Temps: 119s | Batterie: 0.60J | Paquets en attente: 5
Temps: 120s | Batterie: 0.60J | Paquets en attente: 5
Temps: 121s | Batterie: 0.60J | Paquets en attente: 5
Temps: 122s | Batterie: 0.60J | Paquets en attente: 5
Temps: 123s | Batterie: 0.60J | Paquets en attente: 5
Temps: 124s | Batterie: 0.60J | Paquets en attente: 5
Temps: 125s | Batterie: 0.60J | Paquets en attente: 5
Temps: 126s | Batterie: 0.60J | Paquets en attente: 5
Temps: 127s | Batterie: 0.60J | Paquets en attente: 5
Temps: 128s | Batterie: 0.60J | Paquets en attente: 5
Temps: 129s | Batterie: 0.60J | Paquets en attente: 5
Temps: 130s | Batterie: 0.60J | Paquets en attente: 5
Temps: 131s | Batterie: 0.60J | Paquets en attente: 5
Temps: 132s | Batterie: 0.60J | Paquets en attente: 5
Temps: 133s | Batterie: 0.60J | Paquets en attente: 5
Temps: 134s | Batterie: 0.60J | Paquets en attente: 5
Temps: 135s | Batterie: 0.60J | Paquets en attente: 5
Temps: 136s | Batterie: 0.60J | Paquets en attente: 5
Temps: 137s | Batterie: 0.60J | Paquets en attente: 5
Temps: 138s | Batterie: 0.60J | Paquets en attente: 5
Temps: 139s | Batterie: 0.60J | Paquets en attente: 5
Temps: 140s | Batterie: 0.60J | Paquets en attente: 5
Temps: 141s | Batterie: 0.60J | Paquets en attente: 5
Temps: 142s | Batterie: 0.60J | Paquets en attente: 5
Temps: 143s | Batterie: 0.60J | Paquets en attente: 5
Temps: 144s | Batterie: 0.60J | Paquets en attente: 5
Temps: 145s | Batterie: 0.60J | Paquets en attente: 5
Temps: 146s | Batterie: 0.60J | Paquets en attente: 5
Temps: 147s | Batterie: 0.60J | Paquets en attente: 5
Temps: 148s | Batterie: 0.60J | Paquets en attente: 5
Temps: 149s | Batterie: 0.60J | Paquets en attente: 5
Temps: 150s | Batterie: 0.60J | Paquets en attente: 5
Temps: 151s | Batterie: 0.60J | Paquets en attente: 5
Temps: 152s | Batterie: 0.60J | Paquets en attente: 5
Temps: 153s | Batterie: 0.60J | Paquets en attente: 5
Temps: 154s | Batterie: 0.60J | Paquets en attente: 5
Temps: 155s | Batterie: 0.60J | Paquets en attente: 5
Temps: 156s | Batterie: 0.60J | Paquets en attente: 5
Temps: 157s | Batterie: 0.60J | Paquets en attente: 5
Temps: 158s | Batterie: 0.60J | Paquets en attente: 5
Temps: 159s | Batterie: 0.60J | Paquets en attente: 5
Temps: 160s | Batterie: 0.60J | Paquets en attente: 5
Temps: 161s | Batterie: 0.60J | Paquets en attente: 5
Temps: 162s | Batterie: 0.60J | Paquets en attente: 5
Temps: 163s | Batterie: 0.60J | Paquets en attente: 5
